"country","local_id","global_id","type","day","month","year","participant_age","participant_gender","participant_occupation","participant_occ_detail","participant_education","participant_edu_length","participant_school_year","participant_nationality","hh_size","hh_age_1","hh_age_2","hh_age_3","hh_age_4","hh_age_5","hh_age_6","hh_age_7","hh_age_8","hh_age_9","hh_age_10","hh_age_11","hh_age_12","hh_age_13","hh_age_14","hh_age_15","hh_age_16","hh_age_17","hh_age_18","hh_age_19","hh_age_20","class_size","work_contacts","work_contacts_nr","child_care","child_care_detail","child_relationship","child_nationality","problems","diary_how","diary_missed_unsp","diary_missed_skin","diary_missed_noskin","diary_weight","dayofweek","weekday","holiday","cnt_count"
"BE",54681,218724,1,28,10,2010,55,"F",3,NA,2,NA,NA,"BE",2,57,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,4,"Y","N",5
"BE",55197,220788,1,25,10,2010,50,"F",1,NA,3,NA,NA,"EU",2,50,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,"EU",NA,NA,1,NA,NA,NA,4,"Y","N",16
"BE",55976,223904,1,15,11,2010,61,"F",3,NA,3,NA,NA,"BE",2,69,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,1,"Y","N",8
"BE",56016,224064,1,16,11,2010,52,"M",1,NA,3,NA,NA,"BE",3,22,52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",30,NA,NA,NA,"BE",NA,NA,1,NA,NA,NA,2,"Y","N",39
"BE",59635,238540,1,26,10,2010,34,"F",1,NA,5,NA,NA,"BE",5,35,34,8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",100,NA,NA,NA,"BE",NA,NA,2,NA,NA,NA,2,"Y","N",122
"BE",59730,238920,1,28,10,2010,29,"F",1,NA,5,NA,NA,"BE",1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y",25,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,4,"Y","N",29
"BE",60001,240004,1,11,2,2011,99,"F",3,NA,1,NA,NA,"BE",1,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,5,"Y","N",18
"BE",60002,240008,1,10,2,2011,95,"M",2,NA,1,NA,NA,"BE",1,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,4,"Y","N",18
"BE",60003,240012,1,8,2,2011,97,"F",2,NA,3,NA,NA,"BE",1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,1,NA,NA,NA,2,"Y","N",18
"BE",60004,240016,1,9,2,2011,91,"F",2,NA,3,NA,NA,"BE",1,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BE","N",NA,2,NA,NA,NA,3,"Y","N",17
